antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Other Income NEC_None'}),frozenset({'Entrep. Activities_None'}),0.9552058111380145,0.9611245628194781,0.9195587839655637,0.9626813124911985,1.0016197168732777,1.0,0.0014870163329144814,1.0417150166750428,0.036100612022203764,0.9225371120107964,0.04004455729954755,0.9597171432994831
frozenset({'Entrep. Activities_None'}),frozenset({'Other Income NEC_None'}),0.9611245628194781,0.9552058111380145,0.9195587839655637,0.9567529741077677,1.0016197168732777,1.0,0.0014870163329144814,1.0357750143006044,0.041596898973681205,0.9225371120107964,0.034539367919355496,0.9597171432994831
frozenset({'Other Income NEC_None'}),frozenset({'Livestocks_None'}),0.9552058111380145,0.8488027979553403,0.8123486682808717,0.8504435994930292,1.0019330774375879,1.0,0.0015673031637246648,1.0109711221460722,0.04307138733368546,0.8191806836679327,0.010852062839127229,0.9037479487164037
frozenset({'Livestocks_None'}),frozenset({'Other Income NEC_None'}),0.8488027979553403,0.9552058111380145,0.8123486682808717,0.9570522979397782,1.0019330774375879,1.0,0.0015673031637246648,1.0429938439820254,0.012760473293698631,0.8191806836679327,0.041221570223156985,0.9037479487164037
"frozenset({'Other Income NEC_None', 'Livestocks_None'})",frozenset({'Entrep. Activities_None'}),0.8123486682808717,0.9611245628194781,0.7810061877858488,0.9614174532207319,1.000304737192851,1.0,0.00023792912741082972,1.007591266665973,0.0016234596024137008,0.7869341284901057,0.007534073504916044,0.887006837177196
"frozenset({'Other Income NEC_None', 'Entrep. Activities_None'})",frozenset({'Livestocks_None'}),0.9195587839655637,0.8488027979553403,0.7810061877858488,0.8493270918665886,1.0006176863607321,1.0,0.0004821190714681123,1.0034796826964014,0.007673989656647205,0.7910081743869211,0.0034676164912988625,0.8847269373754496
"frozenset({'Livestocks_None', 'Entrep. Activities_None'})",frozenset({'Other Income NEC_None'}),0.8145009416195856,0.9552058111380145,0.7810061877858488,0.9588769611891,1.0038433079115294,1.0,0.0029901551734359266,1.0892723436117389,0.020639422547304186,0.7899319727891159,0.08195594438369329,0.8882541403607802
frozenset({'Other Income NEC_None'}),"frozenset({'Livestocks_None', 'Entrep. Activities_None'})",0.9552058111380145,0.8145009416195856,0.7810061877858488,0.8176313195324603,1.0038433079115292,1.0,0.0029901551734359266,1.017165106995616,0.08547076184003743,0.7899319727891159,0.016875438291740368,0.8882541403607802
frozenset({'Livestocks_None'}),"frozenset({'Other Income NEC_None', 'Entrep. Activities_None'})",0.8488027979553403,0.9195587839655637,0.7810061877858488,0.9201267828843107,1.0006176863607321,1.0,0.0004821190714681123,1.0071112563041544,0.004082780973910165,0.7910081743869211,0.0070610434146579845,0.8847269373754496
frozenset({'Entrep. Activities_None'}),"frozenset({'Other Income NEC_None', 'Livestocks_None'})",0.9611245628194781,0.8123486682808717,0.7810061877858488,0.8125962211336599,1.000304737192851,1.0,0.00023792912741082972,1.0013209597708528,0.007836422648329115,0.7869341284901057,0.0013192171380842846,0.887006837177196
